Date,SPY realized variance,BAC realized variance,SPY-BAC realized covariance
28/02/2002,0.845539751,1.8012834,0.902374513
01/03/2002,0.827680473,1.878405677,0.667666053
04/03/2002,0.71908612,2.376089443,0.442104413
05/03/2002,0.956086789,2.43884783,0.888779342
06/03/2002,0.783783546,1.852010603,0.459417025
07/03/2002,1.033413708,1.994929686,0.648407088
08/03/2002,0.66352366,1.334402576,0.528862334
11/03/2002,0.366621823,1.425995382,0.301405103
12/03/2002,0.528698935,2.339509518,0.770009712
13/03/2002,0.456249559,1.583948354,0.574143988
14/03/2002,0.335652352,0.816057343,0.301579398
15/03/2002,0.422344074,0.840806805,0.1706611
18/03/2002,0.518310628,0.880673815,0.310423305
19/03/2002,0.474502837,1.426191192,0.499648993
20/03/2002,0.380319829,0.613551806,0.220585265
21/03/2002,0.64357052,1.262501825,0.4629388
22/03/2002,0.587361181,1.237545947,0.333475211
25/03/2002,0.512695271,0.886176285,0.422576587
26/03/2002,0.960681479,1.62178082,0.869906553
27/03/2002,0.537072955,1.139015626,0.410089008
28/03/2002,0.407291789,1.662005509,0.362130178
01/04/2002,0.388143973,1.235603902,0.400865532
02/04/2002,0.481539657,1.493555842,0.446518911
03/04/2002,0.46472976,0.778442381,0.310284953
04/04/2002,0.593359231,1.098115708,0.459059927
05/04/2002,0.486282674,1.066882516,0.424348433
08/04/2002,0.487269989,1.557692205,0.569263546
09/04/2002,0.453286836,0.535386168,0.307628288
10/04/2002,0.50856431,0.848766485,0.366186912
11/04/2002,0.900747494,1.475863565,0.677137693
12/04/2002,0.529891115,0.771725905,0.282742929
15/04/2002,0.57943161,2.006839936,0.462461141
16/04/2002,0.286840432,0.875866484,0.231157427
17/04/2002,0.359087564,0.89638842,0.310966713
18/04/2002,1.881343712,1.474826721,0.760855805
19/04/2002,0.296171334,0.814338913,0.167101419
22/04/2002,0.390578652,0.946469914,0.193834607
23/04/2002,0.636497334,0.931402025,0.392602529
24/04/2002,0.81910534,1.648913517,0.885833697
25/04/2002,0.768163924,1.179736165,0.380858852
26/04/2002,1.012955289,1.206731686,0.694078957
29/04/2002,0.71403612,1.477557746,0.698483565
30/04/2002,0.742849082,1.02952243,0.43723871
01/05/2002,0.97847271,1.811876531,0.644079623
02/05/2002,0.798066674,1.306785074,0.661996529
03/05/2002,0.625699505,0.588608385,0.296297833
06/05/2002,0.5842213,1.149193386,0.454137123
07/05/2002,0.708960141,1.058916087,0.370131326
08/05/2002,0.616646156,0.992478414,0.32011961
09/05/2002,1.017522953,0.923606379,0.495293409
10/05/2002,0.896381418,0.960131245,0.617030219
13/05/2002,0.734655948,0.332378977,0.273995948
14/05/2002,0.498250596,0.762943221,0.416917914
15/05/2002,1.141420545,0.556232208,0.427752144
16/05/2002,0.466010821,0.486707334,0.198055918
17/05/2002,0.53866488,0.36765619,0.166329418
20/05/2002,0.460276711,0.527286862,0.199877684
21/05/2002,0.58534996,0.465519951,0.293087476
22/05/2002,0.850376502,1.942914678,0.875792194
23/05/2002,0.678768606,0.892893648,0.450952109
24/05/2002,0.533886645,0.486580333,0.290918005
28/05/2002,0.650465486,0.952419403,0.47604661
29/05/2002,0.296491266,0.437840353,0.185597165
30/05/2002,0.83599031,1.093900386,0.501266787
31/05/2002,0.557186866,0.857063899,0.41465267
03/06/2002,1.26650727,1.027440577,0.634224512
04/06/2002,1.658411928,1.076585153,0.989779298
05/06/2002,0.808491304,1.007714412,0.368650362
06/06/2002,1.038933672,2.463914106,0.563885247
07/06/2002,1.421158575,2.747990154,1.132832853
10/06/2002,1.18775431,0.790856975,0.662426763
11/06/2002,1.056623347,0.873033797,0.527726098
12/06/2002,2.599686692,2.031865271,1.478471186
13/06/2002,1.08690117,2.218935327,1.026919088
14/06/2002,3.989754588,3.265011805,1.799561413
17/06/2002,0.813700952,0.887592721,0.439794758
18/06/2002,0.844533811,1.502866228,0.821519294
19/06/2002,1.057383309,1.411930813,0.715575132
20/06/2002,1.505967492,1.718692756,0.966345345
21/06/2002,1.417769474,1.624631183,1.002202272
24/06/2002,2.693415103,2.902956285,1.944774676
25/06/2002,1.8278804,2.460291592,1.484937041
26/06/2002,4.190084949,4.114230438,2.854247975
27/06/2002,2.451210516,1.719242892,1.222315504
28/06/2002,1.168504804,1.606596393,0.845045597
01/07/2002,1.389052882,1.690033344,0.934104941
02/07/2002,2.773034279,5.279801448,2.773923572
03/07/2002,2.555952657,2.93226545,1.913196356
05/07/2002,0.717127861,0.85826002,0.30931745
08/07/2002,1.48937686,2.685831303,1.38675372
09/07/2002,1.896407038,1.932887097,1.323682281
10/07/2002,3.265146004,3.239714153,2.191459605
11/07/2002,5.552411001,9.033033198,5.81658257
12/07/2002,3.982519103,6.270928952,3.819617141
15/07/2002,5.215776704,6.213683407,2.773663357
16/07/2002,5.16443714,6.131882889,3.854530498
17/07/2002,4.579370792,6.441999942,2.830368558
18/07/2002,2.59084454,5.8923604,2.044238326
19/07/2002,3.072242068,6.383511421,2.674756666
22/07/2002,11.03054022,16.30646123,10.63557603
23/07/2002,10.11592346,16.12752356,9.236206028
24/07/2002,11.67986445,18.19872151,8.516904909
25/07/2002,12.12349111,13.68145061,8.986321002
26/07/2002,4.175067605,6.338326361,3.735679802
29/07/2002,2.273012002,2.253358897,0.908550781
30/07/2002,3.786362077,5.823440606,3.625878028
31/07/2002,2.773075708,3.593583884,2.089055201
